inst,state,city
clovis community college,NM,Clovis
eastern new mexico university-main campus,NM,Portales
eastern new mexico university-roswell campus,NM,Roswell
institute of american indian and alaska native culture and arts development,NM,Santa Fe
new mexico highlands university,NM,Las Vegas
new mexico junior college,NM,Hobbs
new mexico military institute,NM,Roswell
university of new mexico-gallup campus,NM,Gallup
new mexico institute of mining and technology,NM,Socorro
university of new mexico-los alamos campus,NM,Los Alamos
university of new mexico-main campus,NM,Albuquerque
new mexico state university-alamogordo,NM,Alamogordo
southeast new mexico college,NM,Carlsbad
new mexico state university-grants,NM,Grants
new mexico state university-main campus,NM,Las Cruces
university of new mexico-valencia county campus,NM,Los Lunas
northern new mexico college,NM,Espanola
san juan college,NM,Farmington
santa fe community college,NM,Santa Fe
university of the southwest,NM,Hobbs
southwestern college,NM,Santa Fe
southwestern indian polytechnic institute,NM,Albuquerque
university of new mexico-taos campus,NM,Ranchos de Taos
mesalands community college,NM,Tucumcari
vogue college of cosmetology-santa fe,NM,Santa Fe
western new mexico university,NM,Silver City
vaughn college of aeronautics and technology,NY,Flushing
adelphi university,NY,Garden City
suny adirondack,NY,Queensbury
bryant & stratton college-albany,NY,Albany
albany college of pharmacy and health sciences,NY,Albany
albany law school,NY,Albany
albany medical college,NY,Albany
alfred university,NY,Alfred
allen school-brooklyn,NY,Brooklyn
the ailey school,NY,New York
american academy of dramatic arts-new york,NY,New York
american academy mcallister institute of funeral service,NY,New York
joffrey ballet school,NY,New York
american musical and dramatic academy,NY,New York
apex technical school,NY,Long Island City
arnot ogden medical center,NY,Elmira
associated beth rivkah schools,NY,Brooklyn
bank street college of education,NY,New York
bard college,NY,Annandale-On-Hudson
barnard college,NY,New York
berk trade and business school,NY,Long Island City
berkeley college-new york,NY,New York
berkowits school of electrolysis,NY,Forest Hills
beth hamedrash shaarei yosher institute,NY,Brooklyn
phillips school of nursing at mount sinai beth israel,NY,New York
brittany beauty academy,NY,Brooklyn
boricua college,NY,New York
brittany beauty academy,NY,Levittown
american beauty school,NY,Bronx
brooklyn law school,NY,Brooklyn
suny broome community college,NY,Binghamton
bryant & stratton college-syracuse north,NY,Liverpool
bryant & stratton college-buffalo,NY,Buffalo
bryant & stratton college-greece,NY,Rochester
canisius college,NY,Buffalo
capri cosmetology learning centers,NY,Nanuet
st paul's school of nursing-queens,NY,Rego Park
cayuga county community college,NY,Auburn
cazenovia college,NY,Cazenovia
central yeshiva tomchei tmimim lubavitz,NY,Brooklyn
christine valmy international school for esthetics skin care & makeup,NY,New York
circle in the square theatre school,NY,New York
clarkson university,NY,Potsdam
clinton community college,NY,Plattsburgh
cochran school of nursing,NY,Yonkers
colgate rochester crozer divinity school,NY,Rochester
colgate university,NY,Hamilton
metropolitan college of new york,NY,New York
columbia university in the city of new york,NY,New York
columbia-greene community college,NY,Hudson
empire beauty school-queens,NY,Astoria
continental school of beauty culture-rochester,NY,Rochester
the cooper union for the advancement of science and art,NY,New York
cornell university,NY,Ithaca
weill medical college of cornell university,NY,New York
suny corning community college,NY,Corning
pomeroy college of nursing at crouse hospital,NY,Syracuse
culinary institute of america,NY,Hyde Park
cuny bernard m baruch college,NY,New York
cuny borough of manhattan community college,NY,New York
cuny bronx community college,NY,Bronx
cuny brooklyn college,NY,Brooklyn
college of staten island cuny,NY,Staten Island
cuny city college,NY,New York
cuny graduate school and university center,NY,New York
cuny hostos community college,NY,Bronx
cuny hunter college,NY,New York
cuny john jay college of criminal justice,NY,New York
cuny kingsborough community college,NY,Brooklyn
cuny laguardia community college,NY,Long Island City
cuny lehman college,NY,Bronx
cuny medgar evers college,NY,Brooklyn
cuny new york city college of technology,NY,Brooklyn
cuny queens college,NY,Queens
cuny queensborough community college,NY,Bayside
cuny school of law,NY,Long Island City
cuny york college,NY,Jamaica
cvph medical center school of radiologic technology,NY,Plattsburgh
d'youville  university,NY,Buffalo
daemen university,NY,Amherst
yeshiva of far rockaway derech ayson rabbinical seminary,NY,Far Rockaway
dominican university new york,NY,Orangeburg
dutchess community college,NY,Poughkeepsie
belanger school of nursing,NY,Schenectady
elmira college,NY,Elmira
erie community college,NY,Buffalo
fashion institute of technology,NY,New York
finger lakes community college,NY,Canandaigua
five towns college,NY,Dix Hills
fordham university,NY,Bronx
fulton-montgomery community college,NY,Johnstown
gemological institute of america-new york,NY,New York
genesee community college,NY,Batavia
hamilton college,NY,Clinton
hartwick college,NY,Oneonta
helene fuld college of nursing,NY,New York
herkimer county community college,NY,Herkimer
hilbert college,NY,Hamburg
hobart william smith colleges,NY,Geneva
hofstra university,NY,Hempstead
houghton university,NY,Houghton
hudson valley community college,NY,Troy
hunter business school,NY,Levittown
iona university,NY,New Rochelle
isabella graham hart school of practical nursing,NY,Rochester
island drafting and technical institute,NY,Amityville
ithaca college,NY,Ithaca
jamestown community college,NY,Jamestown
jamestown business college,NY,Jamestown
jefferson community college,NY,Watertown
jewish theological seminary of america,NY,New York
the juilliard school,NY,New York
kehilath yakov rabbinical seminary,NY,Ossining
keuka college,NY,Keuka Park
lim college,NY,New York
le moyne college,NY,Syracuse
long island university,NY,Brookville
long island beauty school-hempstead,NY,Hempstead
long island business institute,NY,Flushing
machzikei hadath rabbinical college,NY,Brooklyn
mandl school-the college of allied health,NY,New York
manhattan college,NY,Riverdale
manhattan school of music,NY,New York
manhattanville college,NY,Purchase
maria college of albany,NY,Albany
marion s whelan school of nursing of geneva general hospital,NY,Geneva
marist college,NY,Poughkeepsie
marymount manhattan college,NY,New York
medaille university,NY,Buffalo
st. peter's hospital college of nursing,NY,Albany
memorial hospital school of radiation therapy technology,NY,New York
mercy college,NY,Dobbs Ferry
mesivta torah vodaath rabbinical seminary,NY,Brooklyn
mesivta of eastern parkway-yeshiva zichron meilech,NY,Brooklyn
mesivtha tifereth jerusalem of america,NY,New York
mildred elley school-albany campus,NY,Albany
mirrer yeshiva cent institute,NY,Brooklyn
modern welding school,NY,Schenectady
mohawk valley community college,NY,Utica
molloy college,NY,Rockville Centre
monroe college,NY,Bronx
monroe community college,NY,Rochester
mount saint mary college,NY,Newburgh
montefiore school of nursing,NY,Mount Vernon
college of mount saint vincent,NY,Bronx
icahn school of medicine at mount sinai,NY,New York
nassau community college,NY,Garden City
nazareth college,NY,Rochester
neighborhood playhouse school of the theater,NY,New York City
the new school,NY,New York
northeast college of health sciences,NY,Seneca Falls
new york law school,NY,New York
new york medical college,NY,Valhalla
new york school for medical and dental assistants,NY,Long Island City
new york theological seminary,NY,New York
new york university,NY,New York
niagara county community college,NY,Sanborn
niagara university,NY,Niagara University
empire beauty school-peekskill,NY,Peekskill
north country community college,NY,Saranac Lake
new york college of podiatric medicine,NY,New York
new york institute of technology,NY,Old Westbury
new york school of interior design,NY,New York
alliance university,NY,New York
ohr hameir theological seminary,NY,Peekskill
onondaga community college,NY,Syracuse
orange county community college,NY,Middletown
otsego area boces-practical nursing program,NY,Oneonta
pace university,NY,New York
paul smiths college of arts and science,NY,Paul Smiths
continental school of beauty culture-west seneca,NY,West Seneca
plaza college,NY,Forest Hills
davis college,NY,Pottersville
pratt institute-main,NY,Brooklyn
rabbinical academy mesivta rabbi chaim berlin,NY,Brooklyn
rabbinical college bobover yeshiva bnei zion,NY,Brooklyn
rabbinical college beth shraga,NY,Monsey
rabbinical seminary mkor chaim,NJ,Lakewood
rabbinical college of long island,NY,Long Beach
rabbinical seminary of america,NY,Flushing
rensselaer polytechnic institute,NY,Troy
roberts wesleyan university,NY,Rochester
rochester institute of technology,NY,Rochester
university of rochester,NY,Rochester
the rockefeller university,NY,New York
rockland community college,NY,Suffern
empire beauty school-manhattan,NY,New York
russell sage college,NY,Troy
st bernard's school of theology and ministry,NY,Rochester
st bonaventure university,NY,Saint Bonaventure
st. francis college,NY,Brooklyn
st. joseph's college of nursing,NY,Syracuse
st lawrence university,NY,Canton
the college of saint rose,NY,Albany
st. thomas aquinas college,NY,Sparkill
samaritan hospital school of nursing,NY,Troy
sarah lawrence college,NY,Bronxville
schenectady county community college,NY,Schenectady
sh'or yoshuv rabbinical college,NY,Lawrence
siena college,NY,Loudonville
skidmore college,NY,Saratoga Springs
st. joseph's university-new york,NY,Brooklyn
saint vladimirs orthodox theological seminary,NY,Yonkers
saint elizabeth college of nursing,NY,Utica
st. john fisher university,NY,Rochester
st paul's school of nursing-staten island,NY,Staten Island
st. john's university-new york,NY,Queens
sullivan county community college,NY,Loch Sheldrake
suny college of technology at alfred,NY,Alfred
suny college of technology at canton,NY,Canton
suny college of technology at delhi,NY,Delhi
suny college of agriculture and technology at cobleskill,NY,Cobleskill
farmingdale state college,NY,Farmingdale
suny morrisville,NY,Morrisville
suny at albany,NY,Albany
binghamton university,NY,Vestal
university at buffalo,NY,Buffalo
stony brook university,NY,Stony Brook
suny college of environmental science and forestry,NY,Syracuse
suny polytechnic institute,NY,Utica
suny brockport,NY,Brockport
suny buffalo state university,NY,Buffalo
suny cortland,NY,Cortland
suny at fredonia,NY,Fredonia
suny college at geneseo,NY,Geneseo
state university of new york at new paltz,NY,New Paltz
suny oneonta,NY,Oneonta
state university of new york at oswego,NY,Oswego
suny college at potsdam,NY,Potsdam
suny at purchase college,NY,Purchase
suny college of optometry,NY,New York
suny college at old westbury,NY,Old Westbury
suny college at plattsburgh,NY,Plattsburgh
suny downstate health sciences university,NY,Brooklyn
empire state university,NY,Saratoga Springs
suny maritime college,NY,Throggs Neck
upstate medical university,NY,Syracuse
swedish institute a college of health sciences,NY,New York
syracuse university,NY,Syracuse
talmudical seminary oholei torah,NY,Brooklyn
talmudical institute of upstate new york,NY,Rochester
teachers college at columbia university,NY,New York
tompkins cortland community college,NY,Dryden
torah temimah talmudical seminary,NY,Staten Island
touro university,NY,New York
trocaire college,NY,Buffalo
excelsior university,NY,Albany
ulster county community college,NY,Stone Ridge
union college,NY,Schenectady
union theological seminary in the city of new york,NY,New York
united talmudical seminary,NY,Brooklyn
united states merchant marine academy,NY,Kings Point
united states military academy,NY,West  Point
utica university,NY,Utica
vassar college,NY,Poughkeepsie
villa maria college,NY,Buffalo
school of visual arts,NY,New York
wagner college,NY,Staten Island
webb institute,NY,Glen Cove
wells college,NY,Aurora
the college of westchester,NY,White Plains
suny westchester community college,NY,Valhalla
westchester school of beauty culture,NY,Mount Vernon
word of life bible institute,NY,Pottersville
yeshiva karlin stolin,NY,Brooklyn
yeshiva derech chaim,NY,Brooklyn
yeshiva of nitra rabbinical college,NY,Chester
yeshivath shaar hatorah,NY,Kew Gardens
yeshiva university,NY,New York
yeshivath viznitz,NY,Monsey
yeshivath zichron moshe,NY,South Fallsburg
college of the albemarle,NC,Elizabeth City
south piedmont community college,NC,Polkton
appalachian state university,NC,Boone
asheville-buncombe technical community college,NC,Asheville
barton college,NC,Wilson
beaufort county community college,NC,Washington
belmont abbey college,NC,Belmont
bennett college,NC,Greensboro
bladen community college,NC,Dublin
blue ridge community college,NC,Flat Rock
brevard college,NC,Brevard
brunswick community college,NC,Bolivia
cabarrus college of health sciences,NC,Concord
caldwell community college and technical institute,NC,Hudson
campbell university,NC,Buies Creek
cape fear community college,NC,Wilmington
carteret community college,NC,Morehead City
catawba college,NC,Salisbury
catawba valley community college,NC,Hickory
central carolina community college,NC,Sanford
central piedmont community college,NC,Charlotte
chowan university,NC,Murfreesboro
cleveland community college,NC,Shelby
coastal carolina community college,NC,Jacksonville
craven community college,NC,New Bern
davidson-davie community college,NC,Thomasville
davidson college,NC,Davidson
duke university,NC,Durham
durham technical community college,NC,Durham
east carolina university,NC,Greenville
edgecombe community college,NC,Tarboro
elizabeth city state university,NC,Elizabeth City
elon university,NC,Elon
fayetteville technical community college,NC,Fayetteville
fayetteville state university,NC,Fayetteville
forsyth technical community college,NC,Winston-Salem
gardner-webb university,NC,Boiling Springs
gaston college,NC,Dallas
greensboro college,NC,Greensboro
guilford college,NC,Greensboro
guilford technical community college,NC,Jamestown
halifax community college,NC,Weldon
haywood community college,NC,Clyde
heritage bible college,NC,Dunn
high point university,NC,High Point
isothermal community college,NC,Spindale
james sprunt community college,NC,Kenansville
johnson c smith university,NC,Charlotte
johnston community college,NC,Smithfield
lees-mcrae college,NC,Banner Elk
lenoir community college,NC,Kinston
lenoir-rhyne university,NC,Hickory
leons beauty school inc,NC,Greensboro
livingstone college,NC,Salisbury
louisburg college,NC,Louisburg
mars hill university,NC,Mars Hill
martin community college,NC,Williamston
mayland community college,NC,Spruce Pine
mcdowell technical community college,NC,Marion
meredith college,NC,Raleigh
methodist university,NC,Fayetteville
miller-motte college-wilmington,NC,Wilmington
mitchell community college,NC,Statesville
mitchells academy,NC,Wilson
montgomery community college,NC,Troy
montreat college,NC,Montreat
university of mount olive,NC,Mount Olive
college of wilmington,NC,Wilmington
nash community college,NC,Rocky Mount
north carolina a & t state university,NC,Greensboro
university of north carolina at asheville,NC,Asheville
university of north carolina at chapel hill,NC,Chapel Hill
university of north carolina at charlotte,NC,Charlotte
university of north carolina at greensboro,NC,Greensboro
north carolina central university,NC,Durham
university of north carolina school of the arts,NC,Winston Salem
north carolina state university at raleigh,NC,Raleigh
north carolina wesleyan university,NC,Rocky Mount
university of north carolina wilmington,NC,Wilmington
pamlico community college,NC,Grantsboro
william peace university,NC,Raleigh
university of north carolina at pembroke,NC,Pembroke
pfeiffer university,NC,Misenheimer
piedmont community college,NC,Roxboro
pitt community college,NC,Winterville
queens university of charlotte,NC,Charlotte
randolph community college,NC,Asheboro
richmond community college,NC,Hamlet
mid-atlantic christian university,NC,Elizabeth City
roanoke-chowan community college,NC,Ahoskie
robeson community college,NC,Lumberton
rockingham community college,NC,Wentworth
rowan-cabarrus community college,NC,Salisbury
saint augustine's university,NC,Raleigh
salem college,NC,Winston-Salem
sampson community college,NC,Clinton
sandhills community college,NC,Pinehurst
shaw university,NC,Raleigh
paul mitchell the school-fayetteville,NC,Fayetteville
st. andrews university,NC,Laurinburg
southeastern community college,NC,Whiteville
southwestern community college,NC,Sylva
stanly community college,NC,Albemarle
southeastern baptist theological seminary,NC,Wake Forest
surry community college,NC,Dobson
alamance community college,NC,Graham
tri-county community college,NC,Murphy
vance-granville community college,NC,Henderson
wake forest university,NC,Winston-Salem
wake technical community college,NC,Raleigh
warren wilson college,NC,Swannanoa
watts school of nursing,NC,Durham
wayne community college,NC,Goldsboro
western piedmont community college,NC,Morganton
wilkes community college,NC,Wilkesboro
wilson community college,NC,Wilson
wingate university,NC,Wingate
carolina christian college,NC,Winston Salem
winston salem barber school,NC,Winston-Salem
winston-salem state university,NC,Winston-Salem
western carolina university,NC,Cullowhee
rasmussen university-north dakota,ND,Fargo
bismarck state college,ND,Bismarck
dickinson state university,ND,Dickinson
nueta hidatsa sahnish college,ND,New Town
josef's school of hair skin & body-grand forks,ND,Grand Forks
university of jamestown,ND,Jamestown
lake region state college,ND,Devils Lake
cankdeska cikana community college,ND,Fort Totten
university of mary,ND,Bismarck
mayville state university,ND,Mayville
minot state university,ND,Minot
university of north dakota,ND,Grand Forks
north dakota state college of science,ND,Wahpeton
dakota college at bottineau,ND,Bottineau
north dakota state university-main campus,ND,Fargo
williston state college,ND,Williston
sitting bull college,ND,Fort Yates
trinity bible college and graduate school,ND,Ellendale
turtle mountain community college,ND,Belcourt
united tribes technical college,ND,Bismarck
valley city state university,ND,Valley City
eti technical college,OH,Niles
air force institute of technology-graduate school of engineering & management,OH,Wright-Patterson AFB
herzing university-akron,OH,Akron
university of akron main campus,OH,Akron
university of akron wayne college,OH,Orrville
allegheny wesleyan college,OH,Salem
apollo career center,OH,Lima
art academy of cincinnati,OH,Cincinnati
ashland county-west holmes career center,OH,Ashland
ashland university,OH,Ashland
ashtabula county technical and career campus,OH,Jefferson
athenaeum of ohio,OH,Cincinnati
auburn career center,OH,Concord Twp
aultman college of nursing and health sciences,OH,Canton
baldwin wallace university,OH,Berea
belmont college,OH,St Clairsville
bluffton university,OH,Bluffton
bowling green state university-firelands,OH,Huron
bowling green state university-main campus,OH,Bowling Green
bryant & stratton college-parma,OH,Parma
buckeye hills career center,OH,Rio Grande
butler technology and career development schools,OH,Monroe
canton city schools adult career and technical education,OH,Canton
capital university,OH,Columbus
case western reserve university,OH,Cleveland
cedarville university,OH,Cedarville
central ohio technical college,OH,Newark
central school of practical nursing,OH,Independence
central state university,OH,Wilberforce
chatfield college,OH,Saint Martin
choffin career  and technical center,OH,Youngstown
the christ college of nursing and health sciences,OH,Cincinnati
cincinnati college of mortuary science,OH,Cincinnati
university of cincinnati-main campus,OH,Cincinnati
cincinnati state technical and community college,OH,Cincinnati
university of cincinnati-clermont college,OH,Batavia
university of cincinnati-blue ash college,OH,Blue Ash
ohio christian university,OH,Circleville
clark state college,OH,Springfield
cleveland institute of art,OH,Cleveland
cleveland institute of music,OH,Cleveland
cleveland state university,OH,Cleveland
columbiana county career and technical center,OH,Lisbon
columbus college of art and design,OH,Columbus
columbus state community college,OH,Columbus
cuyahoga community college district,OH,Cleveland
davis college,OH,Toledo
dayton barber college,OH,Miamisburg
university of dayton,OH,Dayton
defiance college,OH,Defiance
denison university,OH,Granville
edison state community college,OH,Piqua
ehove career center,OH,Milan
the university of findlay,OH,Findlay
franklin university,OH,Columbus
gerbers akron beauty school,OH,Akron
gods bible school and college,OH,Cincinnati
good samaritan college of nursing and health science,OH,Cincinnati
great oaks career campuses,OH,Cincinnati
hannah e mullins school of practical nursing,OH,Salem
adult and community education-hudson,OH,Columbus
hebrew union college-jewish institute of religion,NY,New York
heidelberg university,OH,Tiffin
hiram college,OH,Hiram
hobart institute of welding technology,OH,Troy
hocking college,OH,Nelsonville
ross medical education center-cincinnati,OH,Cincinnati
international college of broadcasting,OH,Dayton
eastern gateway community college,OH,Steubenville
john carroll university,OH,University Heights
hondros college of nursing,OH,Westerville
casal aveda institute,OH,Niles
kent state university at ashtabula,OH,Ashtabula
kent state university at east liverpool,OH,East Liverpool
kent state university at stark,OH,North Canton
kent state university at trumbull,OH,Warren
kent state university at tuscarawas,OH,New Philadelphia
kent state university at salem,OH,Salem
kent state university at kent,OH,Kent
kent state university at geauga,OH,Burton
kenyon college,OH,Gambier
kettering college,OH,Kettering
lake erie college,OH,Painesville
lakeland community college,OH,Kirtland
o c collins career center,OH,Chesapeake
james a. rhodes state college,OH,Lima
ohio business college-sheffield,OH,Sheffield Village
ohio business college-sandusky,OH,Sandusky
lorain county community college,OH,Elyria
lourdes university,OH,Sylvania
malone university,OH,Canton
marietta college,OH,Marietta
marion technical college,OH,Marion
medina county career center,OH,Medina
mercy college of ohio,OH,Toledo
methodist theological school in ohio,OH,Delaware
miami university-hamilton,OH,Hamilton
miami university-middletown,OH,Middletown
miami university-oxford,OH,Oxford
moler hollywood beauty academy,OH,Cincinnati
miami valley career technology center,OH,Englewood
mount carmel college of nursing,OH,Columbus
university of mount union,OH,Alliance
mount vernon nazarene university,OH,Mount Vernon
mount saint joseph university,OH,Cincinnati
zane state college,OH,Zanesville
muskingum university,OH,New Concord
national beauty college,OH,Canton
north central state college,OH,Mansfield
northern institute of cosmetology,OH,Lorain
northwest state community college,OH,Archbold
toledo public schools adult and continuing education,OH,Toledo
notre dame college,OH,Cleveland
northeast ohio medical university,OH,Rootstown
university of northwestern ohio,OH,Lima
oberlin college,OH,Oberlin
ohio technical college,OH,Cleveland
ohio dominican university,OH,Columbus
ohio northern university,OH,Ada
ohio state university agricultural technical institute,OH,Wooster
ohio state university-lima campus,OH,Lima
ohio state university-mansfield campus,OH,Mansfield
ohio state university-marion campus,OH,Marion
ohio state university-newark campus,OH,Newark
ohio state beauty academy,OH,Lima
ohio state college of barber styling,OH,Columbus
the spa school,OH,Columbus
ohio state school of cosmetology-canal winchester,OH,CANAL WINCHESTER
ohio state university-main campus,OH,Columbus
ohio university-eastern campus,OH,Saint Clairsville
ohio university-chillicothe campus,OH,Chillicothe
ohio university-southern campus,OH,Ironton
ohio university-lancaster campus,OH,Lancaster
ohio university-main campus,OH,Athens
ohio university-zanesville campus,OH,Zanesville
east ohio college,OH,East Liverpool
trinity health system school of nursing,OH,Steubenville
ohio wesleyan university,OH,Delaware
otterbein university,OH,Westerville
owens community college,OH,Perrysburg
paramount beauty academy,OH,Portsmouth
cuyahoga valley career center,OH,Brecksville
payne theological seminary,OH,Wilberforce
pontifical college josephinum,OH,Columbus
professional skills institute,OH,Maumee
firelands regional medical center school of nursing,OH,Sandusky
rabbinical college telshe,OH,Wickliffe
raphael's school of beauty culture inc-niles,OH,Niles
fortis college-centerville,OH,Centerville
university of rio grande,OH,Rio Grande
the modern college of design,OH,Kettering
shawnee state university,OH,Portsmouth
sinclair community college,OH,Dayton
hussian college-daymar college columbus,OH,Columbus
stark state college,OH,North Canton
stautzenberger college-maumee,OH,Maumee
franciscan university of steubenville,OH,Steubenville
southern state community college,OH,Hillsboro
terra state community college,OH,Fremont
tiffin academy of hair design,OH,Tiffin
tiffin university,OH,Tiffin
university of toledo,OH,Toledo
tri-state bible college,OH,South Point
tri-county adult career center,OH,Nelsonville
tri-rivers career center,OH,Marion
union institute & university,OH,Cincinnati
united theological seminary,OH,Dayton
upper valley career center,OH,Piqua
ursuline college,OH,Pepper Pike
the north coast college,OH,Lakewood
walsh university,OH,North Canton
washington state community college,OH,Marietta
wilberforce university,OH,Wilberforce
wilmington college,OH,Wilmington
winebrenner theological seminary,OH,Findlay
wittenberg university,OH,Springfield
the college of wooster,OH,Wooster
wright state university-main campus,OH,Dayton
wright state university-lake campus,OH,Celina
xavier university,OH,Cincinnati
youngstown state university,OH,Youngstown
bacone college,OK,Muskogee
oklahoma wesleyan university,OK,Bartlesville
southern nazarene university,OK,Bethany
pontotoc technology center,OK,Ada
cameron university,OK,Lawton
carl albert state college,OK,Poteau
central oklahoma college,OK,Oklahoma City
university of central oklahoma,OK,Edmond
connors state college,OK,Warner
east central university,OK,Ada
eastern oklahoma state college,OK,Wilburton
redlands community college,OK,El Reno
formations institute,OK,Enid
eves college of hairstyling,OK,Lawton
randall university,OK,Moore
langston university,OK,Langston
murray state college,OK,Tishomingo
spartan college of aeronautics and technology,OK,Tulsa
northeastern state university,OK,Tahlequah
northern oklahoma college,OK,Tonkawa
northeastern oklahoma a&m college,OK,Miami
northwestern oklahoma state university,OK,Alva
oklahoma state university center for health sciences,OK,Tulsa
oklahoma christian university,OK,Edmond
university of oklahoma-health sciences center,OK,Oklahoma City
oklahoma panhandle state university,OK,Goodwell
oklahoma state university-main campus,OK,Stillwater
oklahoma state university-oklahoma city,OK,Oklahoma City
oklahoma baptist university,OK,Shawnee
oklahoma city community college,OK,Oklahoma City
oklahoma city university,OK,Oklahoma City
university of oklahoma-norman campus,OK,Norman
oklahoma state university institute of technology,OK,Okmulgee
oral roberts university,OK,Tulsa
rogers state university,OK,Claremore
rose state college,OK,Midwest City
jenks beauty college,OK,Jenks
university of science and arts of oklahoma,OK,Chickasha
seminole state college,OK,Seminole
southern school of beauty inc,OK,Durant
southeastern oklahoma state university,OK,Durant
southwestern christian university,OK,Bethany
southwestern oklahoma state university,OK,Weatherford
tulsa community college,OK,Tulsa
tulsa welding school-tulsa,OK,Tulsa
university of tulsa,OK,Tulsa
western oklahoma state college,OK,Altus
formations institute of cosmetology & barbering,OK,Woodward
high plains technology center,OK,Woodward
blue mountain community college,OR,Pendleton
central oregon community college,OR,Bend
chemeketa community college,OR,Salem
clackamas community college,OR,Oregon City
clatsop community college,OR,Astoria
college of hair design careers,OR,Salem
concorde career college-portland,OR,Portland
sumner college,OR,Portland
east west college of the healing arts,OR,Portland
eastern oregon university,OR,La Grande
new hope christian college-eugene,OR,Eugene
george fox university,OR,Newberg
phagans grants pass college of beauty,OR,Grants Pass
lane community college,OR,Eugene
lewis & clark college,OR,Portland
linfield university,OR,McMinnville
linn-benton community college,OR,Albany
northwest college-beaverton,OR,Beaverton
phagans medford beauty school,OR,Medford
northwest college-clackamas,OR,Happy Valley
mount angel seminary,OR,Saint Benedict
mt hood community college,OR,Gresham
multnomah university,OR,Portland
national university of natural medicine,OR,Portland
bushnell university,OR,Eugene
oregon health & science university,OR,Portland
oregon institute of technology,OR,Klamath Falls
oregon state university,OR,Corvallis
university of oregon,OR,Eugene
pacific northwest college of art,OR,Portland
pacific university,OR,Forest Grove
phagans beauty college,OR,Corvallis
phagans central oregon beauty college,OR,Bend
phagans school of beauty,OR,Salem
phagans school of hair design,OR,Happy Valley
summit salon academy-portland,OR,Tigard
portland community college,OR,Portland
portland state university,OR,Portland
university of portland,OR,Portland
reed college,OR,Portland
rogue community college,OR,Grants Pass
southern oregon university,OR,Ashland
southwestern oregon community college,OR,Coos Bay
treasure valley community college,OR,Ontario
umpqua community college,OR,Roseburg
warner pacific university,OR,Portland
corban university,OR,Salem
western seminary,OR,Portland
willamette university,OR,Salem
western oregon university,OR,Monmouth
university of western states,OR,Portland
bryn athyn college of the new church,PA,Bryn Athyn
academy of vocal arts,PA,Philadelphia
albright college,PA,Reading
all-state career school,PA,Essington
community college of allegheny county,PA,Pittsburgh
allegheny college,PA,Meadville
the  beauty institute,PA,Whitehall
desales university,PA,Center Valley
altoona beauty school inc,PA,Altoona
alvernia university,PA,Reading
the beauty institute-ambler,PA,Ambler
american college of financial services,PA,King of Prussia
automotive training center-exton,PA,Exton
clarks summit university,PA,Clarks Summit
community college of beaver county,PA,Monaca
arcadia university,PA,Glenside
missio theological seminary,PA,Philadelphia
bryn mawr college,PA,Bryn Mawr
bucknell university,PA,Lewisburg
bucks county community college,PA,Newtown
bucks county school of beauty culture inc,PA,Feasterville
butler beauty academy,PA,Butler
butler county community college,PA,Butler
cabrini university,PA,Radnor
carlow university,PA,Pittsburgh
carnegie mellon university,PA,Pittsburgh
cedar crest college,PA,Allentown
central penn college,PA,Summerdale
chatham university,PA,Pittsburgh
chestnut hill college,PA,Philadelphia
cheyney university of pennsylvania,PA,Cheyney
citizens school of nursing,PA,Tarentum
dlp conemaugh memorial medical center,PA,Johnstown
curtis institute of music,PA,Philadelphia
delaware county community college,PA,Media
delaware valley university,PA,Doylestown
dickinson college,PA,Carlisle
douglas education center,PA,Monessen
drexel university,PA,Philadelphia
duquesne university,PA,Pittsburgh
east stroudsburg university of pennsylvania,PA,East Stroudsburg
eastern university,PA,Saint Davids
elizabethtown college,PA,Elizabethtown
empire beauty school-lebanon,PA,Lebanon
empire beauty school-york,PA,York
empire beauty school-lancaster,PA,Lancaster
empire beauty school-shamokin dam,PA,Shamokin Dam
empire beauty school-pottsville,PA,Pottsville
empire beauty  school-lehigh valley,PA,Whitehall
empire beauty school-gwinnett,GA,Lawrenceville
empire beauty school-wyoming valley,PA,Moosic
empire beauty school-harrisburg,PA,Harrisburg
empire beauty school-reading,PA,Reading
erie institute of technology inc,PA,Erie
franklin and marshall college,PA,Lancaster
gannon university,PA,Erie
geneva college,PA,Beaver Falls
gettysburg college,PA,Gettysburg
empire beauty school-ne philadelphia,PA,Philadelphia
gratz college,PA,Melrose Park
grove city college,PA,Grove City
gwynedd mercy university,PA,Gwynedd Valley
harcum college,PA,Bryn Mawr
harrisburg area community college,PA,Harrisburg
haverford college,PA,Haverford
commonwealth technical institute,PA,Johnstown
holy family university,PA,Philadelphia
hussian college-philadelphia,PA,Philadelphia
immaculata university,PA,Immaculata
indiana university of pennsylvania-main campus,PA,Indiana
upmc jameson school of nursing,PA,New Castle
great lakes institute of technology,PA,Erie
johnson college,PA,Scranton
juniata college,PA,Huntingdon
keystone college,PA,La Plume
king's college,PA,Wilkes-Barre
butler beauty academy-kittanning beauty academy,PA,Kittanning
kutztown university of pennsylvania,PA,Kutztown
la roche university,PA,Pittsburgh
la salle university,PA,Philadelphia
lackawanna college,PA,Scranton
lafayette college,PA,Easton
lancaster bible college,PA,Lancaster
lancaster theological seminary,PA,Lancaster
lancaster school of cosmetology & therapeutic bodywork,PA,Lancaster
lansdale school of business,PA,North Wales
