ID,Institution Name,CITY,STABBR,Latitude,Longitude
100654,Alabama A & M University,Normal,AL,34.7838951,-86.5684231
100663,University of Alabama at Birmingham,Birmingham,AL,33.5016153,-86.8060476
100690,Amridge University,Montgomery,AL,32.3626668,-86.1740183
100706,University of Alabama in Huntsville,Huntsville,AL,34.7249108,-86.640491
100724,Alabama State University,Montgomery,AL,32.3634508,-86.2935823
100751,The University of Alabama,Tuscaloosa,AL,33.2099791,-87.5172209
100760,Central Alabama Community College,Alexander City,AL,32.9243416,-85.9455957
100812,Athens State University,Athens,AL,34.8060684,-86.9651364
100830,Auburn University at Montgomery,Montgomery,AL,32.3709721,-86.1771873
100858,Auburn University,Auburn,AL,32.5919528,-85.4959775
100937,Birmingham-Southern College,Birmingham,AL,33.5161855,-86.855847
101028,Chattahoochee Valley Community College,Phenix City,AL,32.4237871,-85.0307291
101116,South University-Montgomery,Montgomery,AL,32.3427305,-86.2163432
101143,Enterprise State Community College,Enterprise,AL,31.2981182,-85.8371311
101161,Coastal Alabama Community College,Bay Minette,AL,30.8515748,-87.7791586
101189,Faulkner University,Montgomery,AL,32.3854781,-86.2171061
101240,Gadsden State Community College,Gadsden,AL,33.9902905,-85.9938681
101277,New Beginning College of Cosmetology,Albertville,AL,31.220634,-86.172054
101286,George C Wallace Community College-Dothan,Dothan,AL,31.3175843,-85.4657393
101295,George C Wallace State Community College-Hanceville,Hanceville,AL,34.0730996,-86.7851529
101301,George C Wallace State Community College-Selma,Selma,AL,32.439709,-87.014532
101365,Herzing University-Birmingham,Birmingham,AL,33.554206,-86.752758
101435,Huntingdon College,Montgomery,AL,32.3509723,-86.2852461
101453,Heritage Christian University,Florence,AL,34.8556231,-87.6634238
101462,J. F. Drake State Community and Technical College,Huntsville,AL,34.742692,-86.584407
101471,J F Ingram State Technical College,Deatsville,AL,32.560632,-86.368309
101480,Jacksonville State University,Jacksonville,AL,33.8249359,-85.7641095
101505,Jefferson State Community College,Birmingham,AL,33.6567289,-86.7077432
101514,John C Calhoun State Community College,Tanner,AL,34.6508577,-86.9489086
101569,Lawson State Community College,Birmingham,AL,33.598555,-86.708897
101587,University of West Alabama,Livingston,AL,32.594031,-88.188648
101602,Lurleen B Wallace Community College,Andalusia,AL,31.3233648,-86.4511785
101648,Marion Military Institute,Marion,AL,32.6193588,-87.3235049
101675,Miles College,Fairfield,AL,33.4810986,-86.9091102
101693,University of Mobile,Mobile,AL,30.7919746,-88.1312415
101709,University of Montevallo,Montevallo,AL,33.1060774,-86.8652375
101736,Northwest-Shoals Community College,Muscle Shoals,AL,34.7397978,-87.677636
101879,University of North Alabama,Florence,AL,34.8075226,-87.6816129
101897,Northeast Alabama Community College,Rainsville,AL,34.5459194,-85.9096966
101912,Oakwood University,Huntsville,AL,34.7546676,-86.6549303
101994,Reid State Technical College,Evergreen,AL,31.4628231,-86.9643444
102030,Bishop State Community College,Mobile,AL,30.6947174,-88.0575253
102049,Samford University,Birmingham,AL,33.554206,-86.752758
102058,Selma University,Selma,AL,32.4206437,-87.0338257
102067,Shelton State Community College,Tuscaloosa,AL,33.1206471,-87.5613494
102076,Snead State Community College,Boaz,AL,34.2006503,-86.1691433
102094,University of South Alabama,Mobile,AL,30.6507639,-88.161593
102234,Spring Hill College,Mobile,AL,30.6920656,-88.135704
102270,Stillman College,Tuscaloosa,AL,33.1978474,-87.5857279
102298,Talladega College,Talladega,AL,33.4325135,-86.1148878
102313,H Councill Trenholm State Community College,Montgomery,AL,32.367272,-86.345083
102368,Troy University,Troy,AL,31.8022234,-85.9556867
102377,Tuskegee University,Tuskegee,AL,32.4301095,-85.7067335
102395,United States Sports Academy,Daphne,AL,30.639207,-87.9116219
102429,Bevill State Community College,Jasper,AL,33.8369363,-87.2661641
102553,University of Alaska Anchorage,Anchorage,AK,61.190379,-149.8223254
102580,Alaska Bible College,Palmer,AK,61.5984652,-149.11164
102614,University of Alaska Fairbanks,Fairbanks,AK,64.8653408,-147.8426097
102632,University of Alaska Southeast,Juneau,AK,58.3923365,-134.6478123
102669,Alaska Pacific University,Anchorage,AK,61.1915341,-149.80079
102711,Alaska Vocational Technical Center,Seward,AK,60.1074782,-149.441286
102845,Charter College,Vancouver,WA,45.822369,-122.553144
